d2d4
e7e6
e2e4
a7a6
g1f3
d7d5
e4e5
g8e7
f1d3
h7h6
c2c3
c7c5
c1e3
b8d7
e1g1
b7b5
d4c5
d8c7
a2a4
b5a4
d1a4
c8b7
b2b4
g7g5
f3d4
f8g7
f2f4
e7c6
g2g3
h6h5
a4d1
h5h4
d1g4
g7f8
g4g5
f8h6
d4e6
f7e6
d3g6
e8f8
g5g4
c7d8
g3h4
f8e7
e3f2
h8f8
h4h5
d7e5
f4e5
d8c7
b4b5
c6e5
g4h4
e7d7
c5c6
b7c6
b5c6
c7c6
h4a4
e5g6
h5g6
c6a4
a1a4
f8f6
f2g3
f6g6
g1h1
h6g5
b1a3
g5e7
f1b1
e7f8
a4a5
g6g4
a3c2
f8d6
g3d6
d7d6
c2d4
g4e4
b1b6
d6d7
a5c5
a8a7
h1g2
e4g4
g2f3
g4e4
h2h3
e4e1
h3h4
a7c7
c5c7
d7c7
b6e6
e1h1
f3g4
h1g1
g4f5
g1c1
h4h5
c1h1
h5h6
h1h2
f5g6
c7d7
h6h7
d7c7
g6g7
h2h7
g7h7
a6a5
e6a6
c7b8
h7g7
b8b7
a6a5
b7b6
a5d5
b6b7
g7f8
b7b6
d5b5
b6a7
c3c4
a7a8
c4c5
a8a7
d4c6
a7a8
b5b8
