d2d4
d7d5
g1f3
g8f6
c2c4
e7e6
b1c3
f8b4
c4d5
e6d5
c1g5
h7h6
g5d2
c7c6
e2e3
b4d6
f1e2
c8f5
f3h4
f5e6
e2d3
f6e4
d3e4
d8h4
d1b3
b7b6
e4b1
e8g8
b1d3
f8c8
g2g3
h4g4
b3d1
g4h3
d3f1
h3g4
d1g4
e6g4
a1c1
c8e8
f1e2
g4f5
g3g4
f5g6
h2h4
b8d7
g4g5
a8c8
f2f4
g6f5
e1f1
b6b5
e2f3
d7b6
b2b3
d6b4
h4h5
e8e7
f1e2
h6g5
f4g5
a7a5
f3g2
f5g4
g2f3
g4f5
e2f2
c8a8
h1h4
b6c8
f3g4
c8d6
g4f5
d6f5
h4f4
f5d6
f2e2
a8e8
c3d1
b4d2
e2d2
e7c7
d1f2
e8e6
d2e2
a5a4
f4f3
c7c8
c1c2
c8c7
f2d3
a4b3
a2b3
d6e4
g5g6
e4f6
d3f4
e6e8
g6f7
c7f7
h5h6
g7g5
f4g6
g5g4
f3f5
e8e6
g6e5
f7a7
e2d3
a7c7
h6h7
c7h7
c2c6
e6c6
e5c6
g8f7
f5e5
g4g3
c6d8
f7g6
d8e6
h7h1
e5g5
g6f7
e6f4
h1c1
b3b4
c1g1
f4h3
g1b1
d3c2
b1b4
h3f4
b4a4
c2b3
a4c4
g5g3
c4c1
g3g5
c1e1
g5e5
f6g4
e5f5
f7e8
f5d5
g4e3
d5e5
e8d8
b3b4
e1b1
b4c5
e3c2
e5h5
b5b4
f4d3
b4b3
d4d5
b1d1
c5d6
d8e8
h5e5
e8f8
e5f5
f8g8
d3b2
d1b1
f5g5
g8f8
b2c4
b1d1
g5g2
d1d4
g2f2
f8e8
f2e2
e8f8
c4d2
b3b2
d2b1
c2b4
e2b2
d4d5
d6e6
d5d4
e6f6
d4d6
f6e5
d6d5
e5e6
d5b5
b1d2
b4c6
b2b5
c6d4
e6d7
d4b5
d2f3
f8f7
f3h2
b5a3
h2g4
a3b1
d7d6
f7g6
d6e5
g6f7
g4e3
f7e7
e3f5
e7f7
f5g3
b1c3
e5d4
c3a4
d4e5
a4b6
e5d6
f7g6
d6e5
b6d7
e5e6
d7f6
g3e2
f6g4
e2g1
g4f6
g1f3
f6h7
e6e5
h7f8
f3d2
f8h7
e5f4
h7f8
d2b1
g6f7
b1c3
f7e7
c3e2
f8d7
e2g3
e7f7
g3e4
f7g6
e4d2
d7b6
d2b3
g6f6
b3c5
f6e7
f4f5
e7f7
f5e5
f7g6
c5e6
b6d7
e5d6
d7b6
d6c6
g6f5
e6c7
b6c4
c6d5
c4b2
c7a6
b2d1
a6b4
d1e3
d5d4
e3g2
b4a6
g2h4
d4d5
f5f4
d5e6
h4f5
a6b4
f5e3
b4c6
f4f3
e6e5
e3f1
e5f5
f3g2
c6e5
f1d2
e5d3
d2c4
f5e4
c4d2
e4f5
g2h3
f5e5
h3h2
d3b2
d2f3
