g1f3
g8f6
c2c4
c7c5
b1c3
e7e6
e2e4
b8c6
d2d3
h7h6
h2h3
d7d5
e4d5
e6d5
c1f4
c8e6
d1b3
d5d4
c3e2
b7b6
b3d1
g7g5
f4h2
a8c8
f3e5
b6b5
c4b5
d8a5
d1d2
a5b5
e5c4
e6c4
d3c4
b5b4
e2c1
e8d7
f1d3
c8e8
c1e2
f8d6
d2b4
c6b4
d3f5
d7c6
a2a3
b4a6
h2d6
c6d6
a1b1
h6h5
h3h4
g5h4
h1h4
f6g4
e1d2
e8b8
f5g4
h5g4
h4g4
a6c7
g4g7
b8f8
g7g5
c7e6
g5f5
a7a5
b1e1
h8h2
d2c2
h2g2
e2c1
g2h2
c1d3
a5a4
f5d5
d6c7
e1e5
f8d8
e5f5
h2h7
f5f6
c7c8
d5e5
d8d7
d3c5
d7c7
e5e6
c7c5
e6e8
c8c7
c2d3
c5c6
f6f4
h7h3
f2f3
f7f6
e8e2
h3h5
e2e7
c7c8
d3d4
h5h2
f4g4
c6c7
e7c7
c8c7
d4c3
c7d6
c4c5
d6c5
g4a4
h2h7
a4c4
c5d5
c4d4
d5c6
b2b4
h7h1
c3b3
h1b1
b3c4
b1c1
c4b3
c1b1
b3c2
b1a1
c2b2
a1e1
d4e4
e1d1
e4f4
d1d3
f4f5
c6d6
f5f6
d6e7
f6c6
e7d8
b4b5
d3d2
b2c3
d2d5
a3a4
d5f5
b5b6
f5f7
c3b4
f7e7
b4b5
e7d7
c6c4
d7f7
b5a6
f7f3
b6b7
d8d7
a6a7
f3b3
a4a5
b3b1
b7b8q
b1b8
c4d4
d7c7
d4c4
c7d6
a7b8
d6d5
c4a4
d5d6
a4h4
d6d7
a5a6
d7e7
b8c7
e7f7
h4a4
f7e7
a6a7
e7f7
a7a8q
f7g7
a8f3
g7g8
a4g4
g8h7
f3h3
