d2d4
d7d5
c2c4
g8f6
b1c3
e7e6
g1f3
f8b4
c1d2
e8g8
d1c2
b7b6
c4d5
b4c3
d2c3
e6d5
e2e3
a7a5
a2a3
c8a6
f1a6
b8a6
e1g1
d8e8
f1c1
f6e4
f3d2
e4d2
c2d2
e8d7
d2e2
a5a4
e2f3
f8e8
h2h3
e8e6
f3f5
c7c6
c3d2
a8e8
c1c2
a6b8
d2b4
e6g6
f5f3
e8e4
f3h5
e4e6
a1c1
e6e4
b4e1
b8a6
h5e2
d7c8
f2f3
e4e8
f3f4
a6b8
e2f3
g6e6
e1f2
e6e4
c2c3
c8b7
f4f5
c6c5
d4c5
b6c5
c3c5
b7b2
c5c8
b2a3
c1c5
g7g6
c8e8
e4e8
f3d5
a3b2
f5g6
h7g6
e3e4
b2a1
g1h2
a1f1
f2g3
f1f6
d5a8
f6a6
a8d5
a6e6
c5c7
b8a6
c7c4
e6d5
e4d5
e8d8
d5d6
f7f6
h3h4
a4a3
c4a4
a6c5
a4a3
g8f8
g3f4
g6g5
h4g5
f6g5
f4e5
c5e4
g2g4
e4d6
e5f6
d6c4
a3c3
d8d6
f6g5
c4e5
h2g3
d6d4
g5h6
f8e8
c3e3
d4g4
g3h3
g4b4
h3g2
b4b5
h6g7
e8f7
g7e5
f7e6
e5f4
e6f6
g2g3
f6f5
e3d3
b5b6
d3d5
f5e6
d5a5
b6b4
g3f3
b4b3
f3g4
b3b7
g4g3
b7b4
a5e5
e6d7
e5c5
b4b7
f4e5
d7e6
g3f3
b7b1
e5d4
b1h1
c5e5
e6d6
e5f5
d6e6
f5e5
e6f7
e5g5
f7e6
