g1f3
e7e6
e2e4
d7d5
e4d5
e6d5
b1c3
d5d4
c3b5
c7c5
f1c4
a7a6
d1e2
f8e7
e2e5
e8f8
b5a3
b8c6
e5e2
h7h6
c4b3
b7b5
d2d3
e7d6
e1g1
a8a7
h2h3
a7e7
e2d1
c8b7
c2c3
d8c7
a3c2
d4c3
b2c3
g7g6
c3c4
g8f6
c4b5
a6b5
c1b2
c6e5
f3e5
d6e5
b2e5
c7c6
c2e3
e7e5
d1d2
c6d6
a2a4
c5c4
b3c2
f8g7
a4b5
e5c5
d3d4
c5g5
a1a7
g5b5
a7a4
h8c8
a4c4
b7g2
c4c8
g2h3
c8c3
b5g5
g1h1
h3g2
e3g2
g5h5
g2h4
h5h4
h1g2
d6d5
f2f3
d5h5
f1f2
h4h1
f3f4
h5h2
g2f3
h1f1
c2g6
f6g4
f3g4
f1f2
d2f2
h2f2
g6h5
f2d4
c3g3
d4e4
g4h3
g7h8
g3f3
e4b1
f3f2
b1g1
f2e2
g1c1
h3g3
c1g1
e2g2
g1e3
h5f3
h6h5
f4f5
e3g5
g3f2
g5f5
f2e3
f5e6
e3d3
f7f5
g2c2
e6e5
c2c1
h5h4
c1h1
e5d6
d3e3
d6g3
h1d1
h4h3
d1d2
h8g7
d2d1
g7f6
d1f1
h3h2
e3e2
g3g1
f1d1
f6g5
f3c6
f5f4
d1d5
g5g4
d5d2
g1e3
e2d1
e3b3
d1c1
b3c3
c1d1
c3b3
d1c1
b3c4
c1b2
c4b4
b2c2
b4c4
c2b2
c4c6
d2h2
f4f3
h2d2
c6f6
b2c2
f6f4
c2c3
f3f2
d2f2
f4g3
c3b4
g3f2
b4b3
f2d4
b3a2
g4f4
a2a3
f4e3
a3b3
d4c5
b3a4
c5d6
a4a5
e3d2
a5b5
d2d1
b5c4
d1e2
c4c3
e2d1
c3c4
d1c2
c4b5
c2c3
b5a5
c3c2
a5a4
d6d5
a4b4
c2d3
b4a3
d5b7
a3a4
d3c4
a4a5
c4c3
a5a4
b7a6
