e2e4
e7e5
g1f3
d7d6
d2d4
e5d4
f3d4
c8d7
f1e2
b8c6
c1e3
f8e7
e1g1
g8f6
b1c3
e8g8
d4c6
d7c6
f2f3
f6d7
b2b4
e7f6
d1d3
a7a6
a1b1
d7e5
d3d2
c6b5
e3f2
b5e2
c3e2
f8e8
d2c3
a8c8
f1d1
c7c6
f2d4
d8e7
a2a4
g7g6
e2f4
f6g5
f4d3
g5f6
d4e5
f6e5
d3e5
d6e5
c3c5
e7e6
c2c3
e8d8
g1h1
c8b8
a4a5
e6f6
c5a7
f6e7
g2g3
d8d1
b1d1
b8f8
a7b6
e7e6
b6e3
e6c4
h1g1
f8c8
e3d2
c4b3
g1f2
c6c5
d2d7
c8a8
b4c5
a8f8
d7d6
f8c8
d6d7
c8c5
g3g4
b3b5
g4g5
g8g7
d7b5
c5b5
d1d5
b5b3
c3c4
b3c3
d5e5
c3c2
f2g3
c2c4
g3g4
g7f8
g4f4
c4c1
e5d5
f8g7
d5d8
c1g1
d8b8
g1h1
h2h3
h1g1
b8a8
g1d1
a8e8
d1d4
f4g4
d4d1
e8c8
d1h1
c8c5
h1e1
h3h4
e1a1
c5d5
g7f8
d5c5
f8g7
c5e5
h7h6
g4f4
h6h5
f4g3
g7f8
g3f2
a1a3
f2g2
a3a1
g2f2
a1a3
f2g2
a3a1
