e2e4
e7e5
g1f3
b8c6
f1b5
a7a6
b5c6
d7c6
e1g1
f7f6
d1e2
c6c5
b2b3
c8e6
d2d3
d8d6
c1e3
e8c8
b1d2
g8e7
d2c4
e6c4
d3c4
e7c6
f1d1
c6d4
e3d4
c5d4
c2c3
c7c5
a1b1
f8e7
b3b4
d4d3
e2b2
d8d7
f3d2
h7h5
d2f1
f6f5
e4f5
e5e4
f1e3
c5b4
c3b4
e7f6
b2a3
f6e5
h2h3
d7d8
c4c5
d6c6
b4b5
a6b5
a3a5
e5c7
a5b5
h8e8
b5b3
d8d7
b3c4
g7g6
f5g6
d7g7
b1b3
g7g6
h3h4
c6e6
c4b4
b7b6
c5b6
e6b6
b4a3
b6d6
a3d6
g6d6
b3b5
e8h8
a2a4
d6d4
b5c5
c8d7
c5d5
d4d5
e3d5
h8f8
d5c7
d7c7
f2f3
f8e8
f3e4
e8e4
g2g3
e4d4
d1d2
c7d6
g1f1
d6d5
f1e1
d4e4
e1d1
d5c4
d2b2
e4e5
b2b6
e5a5
b6h6
c4d4
h6h7
a5f5
d1e1
d4e3
h7e7
e3f3
e7b7
f3e4
b7d7
f5f6
e1d1
f6f5
d7b7
f5f6
a4a5
f6a6
d1d2
a6a5
b7d7
a5a4
d2c3
e4e3
d7e7
e3f3
e7h7
f3g3
h7h5
a4f4
h5d5
f4f3
c3c4
f3f4
c4b5
d3d2
d5d3
g3g4
d3d2
g4g3
b5c6
f4f6
c6d5
f6f3
d2a2
g3h4
a2a4
h4g3
a4a7
g3f4
d5e6
f3e3
e6d6
e3f3
d6d5
f4g4
d5e5
g4h3
e5d4
f3f6
d4e4
h3g4
a7h7
g4g3
h7h5
f6f2
e4d5
f2a2
h5h8
g3g2
d5c4
a2c2
c4d4
g2g3
d4e4
c2f2
e4d3
g3g2
d3d4
g2f1
d4e3
f1g1
h8a8
g1g2
e3d3
f2b2
d3c3
b2b5
c3c2
g2g1
a8a2
g1f1
a2a4
b5d5
c2c3
d5d1
c3c2
d1d6
c2b1
f1g1
b1c2
d6f6
c2d2
f6f5
d2e3
g1f1
a4a3
f5f6
a3a7
f6f5
e3d4
f1g2
a7a3
g2h2
d4e3
f5c5
a3a7
c5b5
e3f4
h2g2
a7a3
g2f2
a3a4
b5b2
f4f5
b2b1
f5g4
f2g2
a4a3
g2h1
g4f3
h1g1
f3e2
g1g2
a3a4
b1b3
a4a1
g2g3
a1a7
b3b5
a7g7
g3h2
e2f3
b5b2
f3e3
b2d2
