g1f3
d7d5
d2d4
h7h6
e2e3
a7a6
c2c4
d5c4
f1c4
g8f6
e1g1
b8d7
b1d2
e7e6
b2b3
b7b6
c4d3
c8b7
d1e2
c7c5
c1b2
c5d4
b2d4
f8b4
a1c1
e8g8
f1d1
b4a3
c1b1
b6b5
f3e5
f6d5
e5d7
d8d7
e2g4
f7f6
g4g6
f6f5
d3f1
d7f7
g6f7
f8f7
g2g3
a8d8
f1g2
f7d7
f2f4
g7g5
d2f1
g8f7
d4e5
a6a5
h2h3
f7g6
e3e4
a3c5
g1h2
d5b4
e4f5
g6f5
d1d7
d8d7
b1e1
b4d3
e1e2
h6h5
e5b8
b7g2
g3g4
h5g4
h3g4
f5g4
e2g2
g4f3
f1d2
f3e3
d2f1
e3e4
g2g5
e4f3
g5h5
f3f2
f1d2
c5e3
d2e4
f2f3
e4g5
f3g4
h5h3
e3f4
b8f4
d3f4
g5f3
g4f5
h3h8
f5e4
f3g5
e4e3
a2a4
b5a4
b3a4
d7d2
h2h1
d2d1
h1h2
d1d2
h2h1
d2d5
g5f7
d5d4
h8a8
e3f2
a8c8
d4d5
c8h8
e6e5
f7g5
d5d4
h1h2
f4d3
h8f8
f2e2
h2g3
d4c4
g5e6
c4a4
f8h8
a4a1
h8e8
a5a4
e6d4
e2d1
d4f5
a4a3
f5e3
d1e2
e3c2
a1a2
c2d4
e2e3
d4b5
a2a1
b5c3
e3d4
e8c8
a3a2
c3a2
a1a2
c8g8
e5e4
g8d8
d4c3
d8e8
a2a4
e8h8
a4a6
h8e8
a6a4
e8h8
e4e3
h8h2
d3f2
g3g2
a4e4
h2h5
e3e2
h5h4
c3d4
h4h2
e2e1q
h2h3
f2d1
h3e3
d4e3
g2h2
e4g4
h2h3
g4h4
h3g2
e1d2
g2g3
d2h2
