e2e4
e7e5
g1f3
b8c6
d2d4
e5d4
f3d4
d7d5
e4d5
d8d5
d1e2
g8e7
d4b5
d5d7
c1f4
c6d4
b5c7
d7c7
f4c7
d4e2
f1e2
e7d5
c7e5
f8c5
b1d2
e8g8
e1c1
c5f2
d2e4
f2e3
c1b1
c8f5
e2f3
a8d8
e4d6
d5e7
d6f5
e7f5
f3b7
e3d2
e5c7
f5e3
b7f3
e3d1
h1d1
f8e8
c7d8
e8d8
a2a3
d2g5
d1d8
g5d8
b2b4
f7f5
f3d5
g8f8
b1b2
g7g5
d5e6
f5f4
c2c4
d8f6
b2b3
f6d4
e6g4
d4e3
g4f3
f8e8
c4c5
e8d8
b3c3
d8c8
c3b3
e3f2
b3c4
c8d8
c4d5
d8d7
f3e2
f4f3
e2f3
h7h6
h2h3
d7c7
a3a4
f2e3
d5c4
e3f2
a4a5
c7b8
a5a6
b8c7
f3g4
f2e3
c4d5
c7b8
g4f3
e3f4
f3g4
f4c7
b4b5
c7g3
g4e2
g3c7
e2g4
c7h2
b5b6
b8a8
d5c4
h2g3
c4d5
g3h2
d5c6
a8b8
c6d7
h2g3
b6a7
b8a8
g4e2
a8a7
c5c6
a7b8
a6a7
b8a7
c6c7
g3c7
d7c7
h6h5
e2h5
a7a6
h5e2
a6a5
c7d6
a5a4
e2f3
a4b4
d6e6
b4a3
e6f5
a3b4
f5f6
b4b5
f6g5
b5b6
h3h4
b6a6
g5f6
a6b6
f6f5
b6a6
f3e2
a6a5
e2g4
a5a6
g4d1
a6b6
h4h5
b6c5
f5f6
c5b5
f6e6
b5a5
e6f5
a5a6
d1g4
a6a5
h5h6
a5a4
f5e6
a4a5
h6h7
a5a6
h7h8q
a6a7
h8c8
a7b6
g4e2
b6a7
e6d7
a7b6
c8c7
