d2d4
c7c5
d4d5
g8f6
c2c4
b7b5
c4b5
a7a6
b5b6
e7e6
b1c3
e6d5
c3d5
f6d5
d1d5
b8c6
g1f3
f8e7
f3e5
e8g8
e5c6
d7c6
d5d8
e7d8
c1d2
c8e6
d2a5
a8b8
e2e3
f8e8
b2b3
d8b6
a5b6
b8b6
a1c1
e8a8
f1c4
e6c4
c1c4
a6a5
e1e2
a5a4
b3a4
b6a6
e2f3
g8f8
c4c5
a8a7
g2g4
f8e7
h1b1
g7g6
h2h4
e7d7
b1d1
d7e8
f3g3
e8f8
c5c4
a6a4
c4c6
h7h6
d1d8
f8e7
d8h8
a4a6
c6c8
e7d7
c8g8
a6d6
g8f8
d6f6
f8d8
d7c7
d8d2
f6d6
d2c2
c7d7
h8h6
d6e6
h6h8
e6e5
c2c8
a7a2
c8d8
d7c7
d8f8
c7d6
f8f7
e5e7
h8h7
e7f7
h7f7
d6e5
g4g5
a2a1
f7f6
e5e4
f6g6
a1g1
g3h2
g1g4
h2h3
g4g1
g6e6
e4d3
e6f6
g1h1
h3g4
h1b1
g5g6
b1g1
g4h5
d3e2
h5h6
g1b1
g6g7
e2e1
g7g8q
b1b4
g8g1
e1d2
f6d6
d2c3
g1c1
c3b3
d6d3
b3a2
d3a3
