c2c4
e7e5
b1c3
g8f6
d2d3
b8c6
g1f3
d7d5
c1g5
d5c4
d3c4
d8d1
a1d1
c8e6
g2g3
h7h6
c3b5
a8c8
g5f6
f8b4
f3d2
g7f6
e2e3
c6a5
a2a3
b4d2
d1d2
e8e7
b5c3
c7c6
c3e4
c6c5
d2c2
h8g8
f1e2
f6f5
e4d2
b7b6
f2f4
a5c6
b2b3
c8d8
e1f2
e6c8
e2f3
e5e4
f3h5
c8e6
h1b1
c6b8
b1b2
b8d7
b3b4
d8a8
d2b1
g8c8
h5e2
e7f8
c2d2
c5b4
a3b4
a7a5
b1c3
e6c4
e2c4
c8c4
c3e2
d7f6
b4a5
a8a5
h2h3
f6d5
b2b3
f8g7
e2d4
g7f6
b3b2
c4c3
d4b5
c3d3
d2d3
e4d3
b5d4
a5a3
f2e1
b6b5
d4b5
a3a1
e1f2
a1h1
b2d2
d5c3
b5c3
h1h2
f2e1
h2h1
e1f2
h1h2
f2e1
h2h1
